stcc2,date,actual,pred_xgb,baseline_seasonal,baseline_persistence,n_train
34,2019-10-01,0.102016,0.07140637189149857,0.08384,0.0688,201
34,2019-11-01,0.0692,0.0806746631860733,0.06376,0.102016,202
34,2019-12-01,0.06772,0.0826960951089859,0.06884,0.0692,203
34,2020-01-01,0.09189,0.07453760504722595,0.05916,0.06772,204
34,2020-02-01,0.097302,0.08697415143251419,0.06624,0.09189,205
34,2020-03-01,0.085616,0.08988317847251892,0.06852,0.097302,206
34,2020-04-01,0.06528,0.0938977375626564,0.070224,0.085616,207
34,2020-05-01,0.05756,0.08712774515151978,0.07188,0.06528,208
34,2020-06-01,0.04512,0.056416746228933334,0.06076,0.05756,209
34,2020-07-01,0.0586,0.053135257214307785,0.09748,0.04512,210
34,2020-08-01,0.07224,0.06462820619344711,0.08748,0.0586,211
34,2020-09-01,0.07472,0.06786041706800461,0.0688,0.07224,212
34,2020-10-01,0.06456,0.085821233689785,0.102016,0.07472,213
34,2020-11-01,0.05054,0.06630566716194153,0.0692,0.06456,214
34,2020-12-01,0.05792,0.06286301463842392,0.06772,0.05054,215
34,2021-01-01,0.063955,0.07208031415939331,0.09189,0.05792,216
34,2021-02-01,0.061455,0.07432164996862411,0.097302,0.063955,217
34,2021-03-01,0.07337,0.07173334807157516,0.085616,0.061455,218
34,2021-04-01,0.07427,0.06611074507236481,0.06528,0.07337,219
34,2021-05-01,0.06087,0.06985455751419067,0.05756,0.07427,220
34,2021-06-01,0.066725,0.06545953452587128,0.04512,0.06087,221
34,2021-07-01,0.064465,0.07020983099937439,0.0586,0.066725,222
34,2021-08-01,0.06702,0.06791231036186218,0.07224,0.064465,223
34,2021-09-01,0.06837,0.06995309889316559,0.07472,0.06702,224
34,2021-10-01,0.073928,0.07188259810209274,0.06456,0.06837,225
34,2021-11-01,0.06212,0.06936933845281601,0.05054,0.073928,226
34,2021-12-01,0.066255,0.06858373433351517,0.05792,0.06212,227
34,2022-01-01,0.071765,0.06195496395230293,0.063955,0.066255,228
34,2022-02-01,0.068595,0.07069463282823563,0.061455,0.071765,229
34,2022-03-01,0.080945,0.07054466754198074,0.07337,0.068595,230
34,2022-04-01,0.07618,0.0695982575416565,0.07427,0.080945,231
34,2022-05-01,0.08274,0.07398004829883575,0.06087,0.07618,232
34,2022-06-01,0.084525,0.07412295043468475,0.066725,0.08274,233
34,2022-07-01,0.06616,0.07746066153049469,0.064465,0.084525,234
34,2022-08-01,0.064635,0.07022257149219513,0.06702,0.06616,235
34,2022-09-01,0.07634,0.06560637801885605,0.06837,0.064635,236
34,2022-10-01,0.073335,0.0760662853717804,0.073928,0.07634,237
34,2022-11-01,0.0481,0.06858844310045242,0.06212,0.073335,238
34,2022-12-01,0.072355,0.05736985057592392,0.066255,0.0481,239
34,2023-01-01,0.05873,0.06874099373817444,0.071765,0.072355,240
34,2023-02-01,0.054575,0.0757305696606636,0.068595,0.05873,241
34,2023-03-01,0.068665,0.05715329200029373,0.080945,0.054575,242
34,2023-04-01,0.06817,0.07234692573547363,0.07618,0.068665,243
34,2023-05-01,0.065095,0.0663951188325882,0.08274,0.06817,244
34,2023-06-01,0.07264,0.07330062240362167,0.084525,0.065095,245
34,2023-07-01,0.060815,0.07275991141796112,0.06616,0.07264,246
34,2023-08-01,0.05839,0.06680797785520554,0.064635,0.060815,247
34,2023-09-01,0.06737,0.0647355392575264,0.07634,0.05839,248
34,2023-10-01,0.062555,0.0647931843996048,0.073335,0.06737,249
34,2023-11-01,0.05743,0.061788346618413925,0.0481,0.062555,250
34,2023-12-01,0.05296,0.060793884098529816,0.072355,0.05743,251
34,2024-01-01,0.04008,0.05975775048136711,0.05873,0.05296,252
34,2024-02-01,0.060055,0.03309761732816696,0.054575,0.04008,253
34,2024-03-01,0.050125,0.05510948225855827,0.068665,0.060055,254
34,2024-04-01,0.06117,0.05542684718966484,0.06817,0.050125,255
34,2024-05-01,0.05579,0.058252811431884766,0.065095,0.06117,256
34,2024-06-01,0.043735,0.05007775500416756,0.07264,0.05579,257
34,2024-07-01,0.051605,0.04705001786351204,0.060815,0.043735,258
34,2024-08-01,0.034995,0.04438169300556183,0.05839,0.051605,259
34,2024-09-01,0.0383,0.045717883855104446,0.06737,0.034995,260
34,2024-10-01,0.03182,0.04901232197880745,0.062555,0.0383,261
34,2024-11-01,0.031385,0.03801366314291954,0.05743,0.03182,262
34,2024-12-01,0.03028,0.040949590504169464,0.05296,0.031385,263
35,2019-01-01,0.200408,0.14189305901527405,0.129179,0.134014,192
35,2019-02-01,0.215423,0.1841103583574295,0.127242,0.200408,193
35,2019-03-01,0.18992,0.1998036652803421,0.165371,0.215423,194
35,2019-04-01,0.198311,0.19618329405784607,0.151014,0.18992,195
35,2019-05-01,0.18522,0.17427600920200348,0.167971,0.198311,196
35,2019-06-01,0.198091,0.21386682987213135,0.182624,0.18522,197
35,2019-07-01,0.234427,0.20280955731868744,0.203339,0.198091,198
35,2019-08-01,0.288273,0.2046923041343689,0.25203,0.234427,199
35,2019-09-01,0.274785,0.2200579047203064,0.211595,0.288273,200
35,2019-10-01,0.20824,0.22919878363609314,0.194713,0.274785,201
35,2019-11-01,0.162771,0.19101189076900482,0.178747,0.20824,202
35,2019-12-01,0.128401,0.13988247513771057,0.134014,0.162771,203
35,2020-01-01,0.186929,0.17108936607837677,0.200408,0.128401,204
35,2020-02-01,0.174258,0.21699704229831696,0.215423,0.186929,205
35,2020-03-01,0.259574,0.1803060919046402,0.18992,0.174258,206
35,2020-04-01,0.230984,0.2636362910270691,0.198311,0.259574,207
35,2020-05-01,0.208121,0.21266388893127441,0.18522,0.230984,208
35,2020-06-01,0.210326,0.20582212507724762,0.198091,0.208121,209
35,2020-07-01,0.235659,0.20966842770576477,0.234427,0.210326,210
35,2020-08-01,0.299761,0.24723589420318604,0.288273,0.235659,211
35,2020-09-01,0.354465,0.2859528064727783,0.274785,0.299761,212
